"hypnotizability_total","expectancy","hypnosis_depth","procedure_type","depth_suggestion"
3.81017541113118,6.24950715565492,4.53236458550292,"relaxation","absent"
6.32285362871242,4.03798207247532,3.36862222814263,"relaxation","present"
9.72035596925264,4.87553145793591,7.56385211512025,"relaxation","absent"
3.78542258581283,4.77161553070791,6.41808779129361,"relaxation","present"
7.09782932636975,11.8588992442357,8.39452678332085,"relaxation","absent"
6.29108593107311,4.97183828323038,6.01576893974516,"relaxation","present"
5.91647303356842,4.25033282777124,5.01022750972487,"relaxation","absent"
4.35509632404068,9.35074333200585,7.19961828555605,"relaxation","present"
6.15637585364264,6.80546784844282,5.07204540858519,"relaxation","absent"
9.35192145225216,8.88160633720718,6.5673063717197,"relaxation","present"
8.30636177674039,6.44180339953993,8.60538327337507,"relaxation","absent"
6.19228884158421,8.46568932986141,7.26853235409581,"relaxation","present"
8.99325318100698,7.33457898680473,8.46359240620494,"relaxation","absent"
6.12370024267549,4.80214512966876,6.58255652604593,"relaxation","present"
4.85750317515997,8.25922632215469,7.5616809597522,"relaxation","absent"
4.16753479174853,3.3906871667656,5.30985603949582,"relaxation","present"
10.7721876854516,7.45734531545468,8.4051885137922,"relaxation","absent"
3.26599832614956,3.9277801998938,3.4209721111841,"relaxation","present"
6.57110676842865,4.45763711679908,6.21133122721987,"relaxation","absent"
4.59516261817072,-0.247572675327104,0.463148012718694,"relaxation","present"
5.68483975716441,9.67215298612068,3.82452970295544,"relaxation","absent"
3.89704164635601,4.22883962212767,6.30106190047525,"relaxation","present"
5.87449134379444,8.0357031125687,5.39590375942238,"relaxation","absent"
6.98144871539914,7.50376092578809,9.88042092598039,"relaxation","present"
2.97506921962676,2.71455505029379,2.18431842965285,"relaxation","absent"
4.16227806863575,8.21654914639332,3.19767189142724,"relaxation","present"
6.02599336462018,6.91313860160605,8.72405786546555,"relaxation","absent"
3.7967333969228,5.64144496549285,4.06769390275034,"relaxation","present"
8.48713756806181,7.22032482263335,6.48929570270045,"relaxation","absent"
4.78841574159416,6.52689818530433,3.94634136144689,"relaxation","present"
5.28525758401182,6.25257407053195,4.33662441225724,"relaxation","absent"
6.6046130341343,2.30233746248869,4.64356481917495,"relaxation","present"
4.41407167619391,5.61508341316716,4.44327857887356,"relaxation","absent"
3.65111626684498,5.01977304147041,4.22486224638844,"relaxation","present"
2.52697618646829,3.33090491336582,1.03665090482086,"relaxation","absent"
2.04666805042294,3.5426696199643,4.26538366416396,"relaxation","present"
3.86090961966544,5.14520072436895,10.536138744054,"relaxation","absent"
9.20544511988439,3.93299907797287,5.75316443318711,"relaxation","present"
6.24391543715094,3.97226612057759,6.82135540731534,"relaxation","absent"
1.31092448449331,1.74676611913334,4.47718955053886,"relaxation","present"
5.99833555978122,6.15044448356215,4.44167719984328,"relaxation","absent"
2.92340285138934,7.18898028255542,5.94688878661326,"relaxation","present"
1.8956965478618,6.36210484882337,5.04683113861491,"relaxation","absent"
6.86679996937535,6.49757128292759,6.97117392252602,"relaxation","present"
8.63232438539729,6.9679234449069,6.95846427139962,"relaxation","absent"
9.83390719858786,6.30993776490156,5.80604701548354,"relaxation","present"
4.14321722893131,6.52454683617161,-1.73931698671758,"relaxation","absent"
5.86455915210803,8.12968720489662,7.68030615142739,"relaxation","present"
7.28087073724744,8.38341276183163,0.833206527868605,"relaxation","absent"
5.50764004162582,6.34642070403423,5.46339765840208,"relaxation","present"
6.23412756441279,6.76372126476003,2.80403909253891,"relaxation","absent"
2.53821072607905,2.2331061674353,0.400465074921859,"relaxation","present"
6.11462807503221,5.88759822812107,6.89042769345777,"relaxation","absent"
0.909369648980064,4.82811383985951,7.21081051700074,"relaxation","present"
7.16953745601093,6.58677082220102,5.91442467328715,"relaxation","absent"
3.77470488170404,7.41367009855584,7.20484362808871,"relaxation","present"
8.99659419966455,10.3499220582343,4.41232746715502,"relaxation","absent"
6.42030217146468,3.91253750943067,6.35947650851506,"relaxation","present"
4.74392202222772,6.2784373770766,3.06491779958152,"relaxation","absent"
8.20524958283968,6.81068552222716,9.36039727226672,"relaxation","present"
6.96165053626921,8.07681357820596,5.3161953360601,"relaxation","absent"
3.40479566531473,5.54868437701786,2.24003562303702,"relaxation","present"
5.48655245688425,5.83698140935722,3.99281895906182,"whitenoise","absent"
10.0773187516598,6.62200589311639,6.84350609969746,"whitenoise","present"
6.74521227808722,5.92369435562224,6.331575297175,"whitenoise","absent"
7.03336620547625,5.65515292897648,9.43402044900282,"whitenoise","present"
3.51596639938998,5.71086052620249,6.65787492711984,"whitenoise","absent"
4.82206124205335,9.71877928116602,6.37357872497312,"whitenoise","present"
4.40933071669959,5.61945939995429,3.86230176289352,"whitenoise","absent"
3.45010609316594,4.0432484465793,2.91549367588751,"whitenoise","present"
9.72890837858531,8.10725946766631,9.86885453924654,"whitenoise","absent"
6.88981217347916,5.6115171609453,1.57971373153897,"whitenoise","present"
4.92772806804849,3.43763874321219,2.64518184339104,"whitenoise","absent"
4.16312828905962,2.64535035559213,7.96826707877849,"whitenoise","present"
4.46239404252376,6.3603266133787,10.5791454511993,"whitenoise","absent"
1.07523239916775,2.97347824240582,3.73426831619604,"whitenoise","present"
4.21345749095723,4.03458675596427,4.03667798816794,"whitenoise","absent"
7.15765361615776,6.49057262139875,11.9055505630542,"whitenoise","present"
3.48854465712136,5.85185362655272,1.39564591627799,"whitenoise","absent"
7.85289751911361,6.85623231627056,8.08495683727339,"whitenoise","present"
4.98883467554201,7.36817739819623,1.70853283105552,"whitenoise","absent"
5.21169897880931,3.61221607393611,3.87100076546459,"whitenoise","present"
6.61097835683951,7.95339730831211,5.16014420800277,"whitenoise","absent"
4.80058868959555,5.79485983972774,1.66034941974134,"whitenoise","present"
4.01877832276905,0.742952501046502,0.332274342484179,"whitenoise","absent"
7.78398923343443,7.84209157735256,8.2393916428723,"whitenoise","present"
5.28705629485471,5.487575141567,5.02794123172725,"whitenoise","absent"
8.91341016252906,4.54003849264795,8.15448604055076,"whitenoise","present"
7.05578990439446,6.96054376255458,4.62084377452175,"whitenoise","absent"
2.16204518444881,4.89829255420521,2.78112959938764,"whitenoise","present"
6.6483464379075,4.32888918569307,5.73702741369911,"whitenoise","absent"
7.79924762566884,4.92063138493809,5.1400195562582,"whitenoise","present"
4.47625570662729,3.86501081833227,-0.0593237667971769,"whitenoise","absent"
6.79880791523237,8.96278631472257,3.39713069464542,"whitenoise","present"
1.74651129901543,6.56042513804869,8.05485629923358,"whitenoise","absent"
8.89750690144091,6.96427538534687,7.67154872075462,"whitenoise","present"
8.15342861953964,6.58543514645812,2.84883953020827,"whitenoise","absent"
2.93404458013241,3.17450928454504,5.26830920208285,"whitenoise","present"
3.91581895716531,3.43184333215601,2.22471710458111,"whitenoise","absent"
4.46929137494395,6.77776409789144,6.73749128060101,"whitenoise","present"
4.2507234392785,6.57885882019871,3.31766368465996,"whitenoise","absent"
4.3005810472968,4.68558549513911,7.3716144277116,"whitenoise","present"
2.47063950935157,3.08486430243901,1.17328874097662,"whitenoise","absent"
2.64470943411718,7.5943682752165,6.43464727917794,"whitenoise","present"
6.11701164889899,9.92657198550515,7.13080075889414,"whitenoise","absent"
4.54176845778974,7.49609547225853,2.32187788668011,"whitenoise","present"
4.4437016063131,6.33340841504644,6.36203622488015,"whitenoise","absent"
4.54924462035302,8.62725261869794,5.51738682595499,"whitenoise","present"
6.99220409281361,5.31550044702301,5.56208147759734,"whitenoise","absent"
3.69160593320579,3.09258646278784,1.97780474899546,"whitenoise","present"
2.29142751874505,3.88332991617954,5.18535237754362,"whitenoise","absent"
5.45773483810953,6.31003719738366,6.12141932210716,"whitenoise","present"
4.97933047789075,5.70219601460894,-1.00878443385121,"whitenoise","absent"
4.59786518434645,2.7301614356459,4.34907847292281,"whitenoise","present"
10.5220661420175,6.48232888827993,3.73478319464919,"whitenoise","absent"
3.31556630680565,4.62422207531252,3.65435230497264,"whitenoise","present"
5.7984998941277,7.7900684578675,3.23969432526951,"whitenoise","absent"
8.35247739653287,9.22825916449135,6.55877475909973,"whitenoise","present"
7.81666574219121,4.08923028409975,4.21871743570124,"whitenoise","absent"
6.45830118536647,7.15118623580367,6.47421427558272,"whitenoise","present"
6.40471389729965,9.27646319879997,3.97280980778204,"whitenoise","absent"
2.38314318531691,6.52964238399434,2.76808092294255,"whitenoise","present"
8.56804753648357,7.88186512116857,6.42327665079342,"whitenoise","absent"
1.07990245866376,6.36003560330783,4.62576784300011,"whitenoise","present"
